ID	SYMBOL	CHROMOSOME	START	STOP	BIOTYPE
ENSG00000073734	ABCB11	2	168915498	169031324	gene
ENSG00000005471	ABCB4	7	87401696	87480435	gene
ENSG00000004846	ABCB5	7	20615667	20777038	gene
ENSG00000115657	ABCB6	2	219209772	219218994	gene
ENSG00000131269	ABCB7	X	75051048	75156732	gene
ENSG00000197150	ABCB8	7	151028422	151047782	gene
ENSG00000150967	ABCB9	12	122920951	122981649	gene
ENSG00000103222	ABCC1	16	15949138	16143257	gene
ENSG00000124574	ABCC10	6	43427366	43450427	gene
ENSG00000121270	ABCC11	16	48165773	48247568	gene
ENSG00000140798	ABCC12	16	48081006	48156018	gene
ENSG00000243064	ABCC13	21	14236206	14362754	gene
ENSG00000023839	ABCC2	10	99782640	99852594	gene
ENSG00000108846	ABCC3	17	50634777	50692253	gene
ENSG00000125257	ABCC4	13	95019835	95301475	gene
ENSG00000114770	ABCC5	3	183919934	184017939	gene
ENSG00000223882	ABCC5-AS1	3	184006338	184011419	gene
ENSG00000091262	ABCC6	16	16149565	16223522	gene
ENSG00000256340	ABCC6P1	16	18571162	18598328	gene
ENSG00000255277	ABCC6P2	16	14820792	14824702	gene
ENSG00000006071	ABCC8	11	17392498	17476894	gene
ENSG00000069431	ABCC9	12	21797389	21942543	gene
ENSG00000101986	ABCD1	X	153724856	153744755	gene
ENSG00000215151	ABCD1P2	10	38601418	38605609	gene
ENSG00000261233	ABCD1P3	16	32475051	32478250	gene
ENSG00000225293	ABCD1P4	22	16387694	16390887	gene
ENSG00000214330	ABCD1P5	2	91840601	91843802	gene
ENSG00000173208	ABCD2	12	39550033	39619803	gene
ENSG00000117528	ABCD3	1	94418389	94518666	gene
ENSG00000119688	ABCD4	14	74285269	74303055	gene
ENSG00000164163	ABCE1	4	145098288	145129524	gene
ENSG00000204574	ABCF1	6	30571393	30597179	gene
ENSG00000033050	ABCF2	7	151211484	151227205	gene
ENSG00000285292	ABCF2-H2BE1	7	151207837	151227166	gene
ENSG00000242159	ABCF2P1	3	88317156	88319022	gene
ENSG00000228769	ABCF2P2	7	72103181	72104209	gene
ENSG00000161204	ABCF3	3	184186023	184194012	gene
ENSG00000160179	ABCG1	21	42199689	42297244	gene
ENSG00000118777	ABCG2	4	88090150	88231628	gene
ENSG00000172350	ABCG4	11	119149052	119162653	gene
ENSG00000138075	ABCG5	2	43812472	43838865	gene
ENSG00000143921	ABCG8	2	43831942	43882988	gene
ENSG00000143994	ABHD1	2	27123789	27130812	gene
ENSG00000144827	ABHD10	3	111979010	111993368	gene
ENSG00000106077	ABHD11	7	73736094	73738852	gene
ENSG00000225969	ABHD11-AS1	7	73735038	73736158	gene
ENSG00000100997	ABHD12	20	25294742	25390835	gene
ENSG00000131969	ABHD12B	14	50872053	50904970	gene
ENSG00000139826	ABHD13	13	108218392	108234243	gene
ENSG00000248487	ABHD14A	3	51971426	51981199	gene
ENSG00000114786	ABHD14A-ACY1	3	51974706	51989183	gene
ENSG00000114779	ABHD14B	3	51968510	51983409	gene
ENSG00000168792	ABHD15	17	29560547	29567037	gene
ENSG00000264031	ABHD15-AS1	17	29560547	29707090	gene
ENSG00000204427	ABHD16A	6	31686955	31703356	gene
ENSG00000183260	ABHD16B	20	63861498	63862988	gene
ENSG00000129968	ABHD17A	19	1876810	1885496	gene
ENSG00000198658	ABHD17AP1	1	148146395	148149566	gene
ENSG00000250536	ABHD17AP3	1	214605470	214608840	gene
ENSG00000229107	ABHD17AP4	22	20667836	20670984	gene
ENSG00000263366	ABHD17AP5	22	22114844	22118005	gene
ENSG00000226981	ABHD17AP6	17	20814620	20844257	gene
ENSG00000260864	ABHD17AP7	16	32726615	32729537	gene
ENSG00000260540	ABHD17AP8	16	32199902	32202822	gene
ENSG00000261536	ABHD17AP9	16	33140850	33143797	gene
ENSG00000107362	ABHD17B	9	71862452	71911193	gene
ENSG00000136379	ABHD17C	15	80679684	80755621	gene
ENSG00000164074	ABHD18	4	127965306	128039953	gene
ENSG00000140526	ABHD2	15	89087459	89202355	gene
ENSG00000158201	ABHD3	18	21650901	21704780	gene
ENSG00000100439	ABHD4	14	22598237	22613215	gene
ENSG00000011198	ABHD5	3	43690108	43734371	gene
ENSG00000163686	ABHD6	3	58237532	58295693	gene
ENSG00000127220	ABHD8	19	17292131	17310236	gene
ENSG00000136754	ABI1	10	26746593	26861087	gene
ENSG00000271484	ABI1P1	14	55546674	55548123	gene
ENSG00000138443	ABI2	2	203328280	203447728	gene
ENSG00000108798	ABI3	17	49210411	49223225	gene
ENSG00000154175	ABI3BP	3	100749156	100993515	gene
ENSG00000119328	ABITRAM	9	108934400	108950744	gene
ENSG00000251106	ABITRAMP1	13	46270077	46270617	gene
ENSG00000097007	ABL1	9	130713016	130887675	gene
ENSG00000143322	ABL2	1	179099330	179229684	gene
ENSG00000099204	ABLIM1	10	114431113	114768061	gene
ENSG00000163995	ABLIM2	4	7965310	8158832	gene
ENSG00000173210	ABLIM3	5	149141483	149260542	gene
ENSG00000175164	ABO	9	133233278	133276024	gene
ENSG00000159842	ABR	17	1003519	1229738	gene
ENSG00000174429	ABRA	8	106759483	106770244	gene
ENSG00000146386	ABRACL	6	139028745	139043302	gene
ENSG00000163322	ABRAXAS1	4	83459517	83523348	gene
ENSG00000165660	ABRAXAS2	10	124801819	124836667	gene
ENSG00000146109	ABT1	6	26596953	26600739	gene
ENSG00000250496	ABT1P1	4	99022311	99023131	gene
ENSG00000114626	ABTB1	3	127672935	127680926	gene
ENSG00000166016	ABTB2	11	34150987	34358010	gene
ENSG00000060971	ACAA1	3	38103129	38137242	gene
ENSG00000167315	ACAA2	18	49782164	49813953	gene
ENSG00000278540	ACACA	17	37084992	37406836	gene
ENSG00000076555	ACACB	12	109116595	109268226	gene
ENSG00000111271	ACAD10	12	111686053	111757107	gene
ENSG00000240303	ACAD11	3	132558138	132660082	gene
ENSG00000151498	ACAD8	11	134253548	134265855	gene
ENSG00000177646	ACAD9	3	128879596	128924003	gene
ENSG00000115361	ACADL	2	210187126	210225447	gene
ENSG00000117054	ACADM	1	75724431	75787575	gene
ENSG00000122971	ACADS	12	120725774	120740008	gene
ENSG00000196177	ACADSB	10	123008979	123058290	gene
ENSG00000072778	ACADVL	17	7217125	7225266	gene
ENSG00000157766	ACAN	15	88803436	88875353	gene
ENSG00000072818	ACAP1	17	7336529	7351477	gene
ENSG00000114331	ACAP2	3	195274745	195443044	gene
ENSG00000229325	ACAP2-IT1	3	195280723	195282741	gene
ENSG00000131584	ACAP3	1	1292390	1309609	gene
ENSG00000075239	ACAT1	11	108116695	108147603	gene
ENSG00000120437	ACAT2	6	159762045	159779112	gene
ENSG00000182827	ACBD3	1	226144679	226186741	gene
ENSG00000234478	ACBD3-AS1	1	226148003	226155071	gene
ENSG00000181513	ACBD4	17	45132600	45144181	gene
ENSG00000107897	ACBD5	10	27168135	27243046	gene
ENSG00000230124	ACBD6	1	180269653	180502954	gene
ENSG00000176244	ACBD7	10	15075475	15088776	gene
ENSG00000110455	ACCS	11	44065925	44084237	gene
ENSG00000205126	ACCSL	11	44047981	44059977	gene
ENSG00000102977	ACD	16	67657512	67660815	gene
ENSG00000159640	ACE	17	63477061	63498380	gene
ENSG00000130234	ACE2	X	15494566	15607236	gene
ENSG00000224353	ACE3P	17	63507056	63519806	gene
ENSG00000167769	ACER1	19	6306142	6333612	gene
ENSG00000177076	ACER2	9	19409009	19452505	gene
ENSG00000180105	ACER2P1	2	206410087	206410909	gene
ENSG00000078124	ACER3	11	76860859	77026797	gene
ENSG00000087085	ACHE	7	100889994	100896974	gene
ENSG00000100813	ACIN1	14	23058564	23095614	gene
ENSG00000213088	ACKR1	1	159203307	159206500	gene
ENSG00000144648	ACKR2	3	42804752	42887974	gene
ENSG00000144476	ACKR3	2	236567787	236582354	gene
ENSG00000129048	ACKR4	3	132597270	132618967	gene
ENSG00000225415	ACKR4P1	6	138822747	138823799	gene
ENSG00000131473	ACLY	17	41866917	41930542	gene
ENSG00000153086	ACMSD	2	134838616	134902034	gene
ENSG00000227411	ACNATP	9	101334084	101339347	gene
ENSG00000122729	ACO1	9	32384603	32454769	gene
ENSG00000100412	ACO2	22	41447830	41529273	gene
ENSG00000102794	ACOD1	13	76948511	76958638	gene
ENSG00000184227	ACOT1	14	73537143	73543796	gene
ENSG00000162390	ACOT11	1	54542257	54639192	gene
ENSG00000172497	ACOT12	5	81329996	81394179	gene
ENSG00000112304	ACOT13	6	24667035	24705065	gene
ENSG00000119673	ACOT2	14	73567620	73575658	gene
ENSG00000177465	ACOT4	14	73591873	73595766	gene
ENSG00000205669	ACOT6	14	73610945	73619888	gene
ENSG00000097021	ACOT7	1	6264269	6393767	gene
ENSG00000101473	ACOT8	20	45841721	45857405	gene
ENSG00000123130	ACOT9	X	23701055	23766475	gene
ENSG00000161533	ACOX1	17	75941507	75979177	gene
ENSG00000168306	ACOX2	3	58505136	58537283	gene
ENSG00000087008	ACOX3	4	8366282	8440723	gene
ENSG00000153093	ACOXL	2	110732539	111120610	gene
ENSG00000204581	ACOXL-AS1	2	111098345	111116407	gene
ENSG00000143727	ACP1	2	264140	278283	gene
ENSG00000134575	ACP2	11	47239302	47248906	gene
ENSG00000014257	ACP3	3	132317369	132368298	gene
ENSG00000142513	ACP4	19	50790415	50795219	gene
ENSG00000102575	ACP5	19	11574660	11579008	gene
ENSG00000162836	ACP6	1	147629652	147670524	gene
ENSG00000183760	ACP7	19	39083913	39111493	gene
ENSG00000100312	ACR	22	50738196	50745339	gene
ENSG00000111644	ACRBP	12	6638075	6647433	gene
ENSG00000175509	ACRP1	2	113667478	113668621	gene
ENSG00000134940	ACRV1	11	125671522	125680874	gene
ENSG00000103740	ACSBG1	15	78167468	78245688	gene
ENSG00000130377	ACSBG2	19	6135247	6193094	gene
ENSG00000167107	ACSF2	17	50426158	50474845	gene
ENSG00000176715	ACSF3	16	89088375	89164121	gene
ENSG00000151726	ACSL1	4	184755595	184826818	gene
ENSG00000123983	ACSL3	2	222860942	222944639	gene
ENSG00000234193	ACSL3-AS1	2	222917387	222919363	gene
ENSG00000068366	ACSL4	X	109624244	109733403	gene
ENSG00000197142	ACSL5	10	112374116	112428379	gene
ENSG00000164398	ACSL6	5	131949973	132012243	gene
ENSG00000223548	ACSL6-AS1	5	132003592	132007022	gene
ENSG00000166743	ACSM1	16	20623235	20698890	gene
ENSG00000183747	ACSM2A	16	20451461	20487669	gene
ENSG00000066813	ACSM2B	16	20536226	20576427	gene
ENSG00000005187	ACSM3	16	20610243	20797581	gene
ENSG00000215009	ACSM4	12	7304284	7328724	gene
ENSG00000183549	ACSM5	16	20409534	20441336	gene
ENSG00000260762	ACSM5P1	16	20586550	20607107	gene
ENSG00000173124	ACSM6	10	95194200	95228928	gene
ENSG00000154930	ACSS1	20	25006230	25058980	gene
ENSG00000131069	ACSS2	20	34872146	34927962	gene
ENSG00000111058	ACSS3	12	80936414	81261210	gene
ENSG00000143632	ACTA1	1	229430365	229434104	gene
ENSG00000107796	ACTA2	10	88935074	88991339	gene
ENSG00000180139	ACTA2-AS1	10	88932390	88940820	gene
ENSG00000075624	ACTB	7	5526409	5563902	gene
ENSG00000169067	ACTBL2	5	57480018	57482811	gene
ENSG00000229145	ACTBP1	X	46288016	46289128	gene
ENSG00000188460	ACTBP11	1	223863726	223864851	gene
ENSG00000233125	ACTBP12	1	92229018	92229435	gene
ENSG00000229001	ACTBP14	10	69022778	69023866	gene
ENSG00000213857	ACTBP15	22	41074180	41075239	gene
ENSG00000213763	ACTBP2	5	77784881	77786003	gene
ENSG00000286676	ACTBP4	5	131659046	131660115	gene
ENSG00000203413	ACTBP6	8	84948585	84949674	gene
ENSG00000185607	ACTBP7	15	43989061	43990184	gene
ENSG00000220267	ACTBP8	6	88275882	88276989	gene
ENSG00000266920	ACTBP9	18	62442028	62443126	gene
ENSG00000159251	ACTC1	15	34790230	34795549	gene
ENSG00000172900	ACTE1P	11	71382601	71423423	gene
ENSG00000184009	ACTG1	17	81509413	81523847	gene
ENSG00000178631	ACTG1P1	3	139493809	139494937	gene
ENSG00000231340	ACTG1P10	X	53142832	53143913	gene
ENSG00000229465	ACTG1P11	Y	18147884	18149008	gene
ENSG00000226642	ACTG1P12	3	12070195	12071360	gene
ENSG00000241305	ACTG1P13	3	99215224	99216266	gene
ENSG00000230581	ACTG1P14	9	6834456	6835577	gene
ENSG00000259904	ACTG1P15	15	34373541	34374603	gene
ENSG00000260298	ACTG1P16	16	50058150	50059231	gene
ENSG00000259315	ACTG1P17	15	82725873	82738904	gene
ENSG00000218475	ACTG1P18	6	101430411	101431553	gene
ENSG00000237999	ACTG1P19	9	100731240	100732355	gene
ENSG00000229129	ACTG1P2	Y	17757001	17758125	gene
ENSG00000241547	ACTG1P20	1	27325329	27325796	gene
ENSG00000232672	ACTG1P21	1	77773865	77774864	gene
ENSG00000271615	ACTG1P22	2	57755428	57766052	gene
ENSG00000230362	ACTG1P23	3	175977497	175978570	gene
ENSG00000226359	ACTG1P24	17	17242010	17242886	gene
ENSG00000234996	ACTG1P25	1	202861754	202875241	gene
ENSG00000215388	ACTG1P3	20	1160584	1161697	gene
ENSG00000236085	ACTG1P4	1	103569553	103570674	gene
ENSG00000229349	ACTG1P9	6	46204729	46207386	gene
ENSG00000163017	ACTG2	2	73892314	73919865	gene
ENSG00000288649	ACTL10	20	33666943	33668525	gene
ENSG00000234667	ACTL11P	3	49873347	49877305	gene
ENSG00000136518	ACTL6A	3	179562886	179588407	gene
ENSG00000077080	ACTL6B	7	100643097	100656448	gene
ENSG00000187003	ACTL7A	9	108862266	108863756	gene
ENSG00000148156	ACTL7B	9	108854588	108855986	gene
ENSG00000117148	ACTL8	1	17755333	17827063	gene
ENSG00000181786	ACTL9	19	8697400	8698795	gene
ENSG00000072110	ACTN1	14	68874128	68979440	gene
ENSG00000259062	ACTN1-AS1	14	68979682	68987463	gene
ENSG00000077522	ACTN2	1	236664141	236764631	gene
ENSG00000248746	ACTN3	11	66546395	66563334	gene
ENSG00000130402	ACTN4	19	38647649	38731589	gene
ENSG00000213493	ACTN4P1	4	116598161	116599611	gene
ENSG00000214141	ACTN4P2	1	37776670	37779418	gene
ENSG00000229890	ACTP1	2	108099110	108099492	gene
ENSG00000131966	ACTR10	14	58200080	58235636	gene
ENSG00000138107	ACTR1A	10	102461881	102502712	gene
ENSG00000233370	ACTR1AP1	2	110184054	110185179	gene
ENSG00000115073	ACTR1B	2	97655939	97664044	gene
ENSG00000138071	ACTR2	2	65227788	65271253	gene
ENSG00000115091	ACTR3	2	113890063	113962596	gene
ENSG00000133627	ACTR3B	7	152759749	152855378	gene
ENSG00000270242	ACTR3BP1	Y	11395699	11397076	gene
ENSG00000226481	ACTR3BP2	2	91940668	91942040	gene
ENSG00000260327	ACTR3BP3	16	32379071	32380049	gene
ENSG00000249283	ACTR3BP4	4	102961956	102963327	gene
ENSG00000227264	ACTR3BP5	10	38696424	38697902	gene
ENSG00000280263	ACTR3BP6	22	16486985	16488322	gene
ENSG00000226444	ACTR3BP7	22	11124337	11125705	gene
ENSG00000106526	ACTR3C	7	150243916	150323725	gene
ENSG00000232267	ACTR3P2	X	68771322	68772578	gene
ENSG00000242573	ACTR3P3	3	101163094	101163986	gene
ENSG00000101442	ACTR5	20	38748460	38772520	gene
ENSG00000075089	ACTR6	12	100199122	100241865	gene
ENSG00000248915	ACTR6P1	4	106836498	106837601	gene
ENSG00000113812	ACTR8	3	53867066	53882152	gene
ENSG00000123165	ACTRT1	X	128050962	128052403	gene
ENSG00000235239	ACTRT1P1	X	128127090	128128212	gene
ENSG00000169717	ACTRT2	1	3021467	3022903	gene
ENSG00000184378	ACTRT3	3	169766921	169769561	gene
ENSG00000115170	ACVR1	2	157736251	157876330	gene
ENSG00000135503	ACVR1B	12	51951699	51997078	gene
ENSG00000123612	ACVR1C	2	157526767	157628864	gene
ENSG00000121989	ACVR2A	2	147844517	147930826	gene
ENSG00000114739	ACVR2B	3	38453890	38493142	gene
ENSG00000229589	ACVR2B-AS1	3	38451027	38454820	gene
ENSG00000139567	ACVRL1	12	51906908	51923361	gene
ENSG00000243989	ACY1	3	51983340	51989197	gene
ENSG00000132744	ACY3	11	67642555	67650730	gene
ENSG00000119640	ACYP1	14	75053237	75069483	gene
ENSG00000170634	ACYP2	2	53970838	54305300	gene
ENSG00000196839	ADA	20	44619522	44652233	gene
ENSG00000093072	ADA2	22	17178790	17258235	gene
ENSG00000164113	ADAD1	4	122378966	122429802	gene
ENSG00000267511	ADAD1P2	18	50063795	50064440	gene
ENSG00000140955	ADAD2	16	84191138	84197168	gene
ENSG00000168803	ADAL	15	43330672	43354569	gene
ENSG00000137845	ADAM10	15	58588809	58749791	gene
ENSG00000073670	ADAM11	17	44758988	44781846	gene
ENSG00000148848	ADAM12	10	126012381	126388477	gene
ENSG00000143537	ADAM15	1	155050566	155062775	gene
ENSG00000151694	ADAM17	2	9488486	9556732	gene
ENSG00000168619	ADAM18	8	39584489	39730065	gene
ENSG00000135074	ADAM19	5	157395534	157575775	gene
ENSG00000229186	ADAM1A	12	111899263	111901391	gene
ENSG00000226469	ADAM1B	12	111927018	111929017	gene
ENSG00000104755	ADAM2	8	39743735	39838289	gene
ENSG00000134007	ADAM20	14	70522358	70535015	gene
ENSG00000259158	ADAM20P1	14	70453541	70483775	gene
ENSG00000248574	ADAM20P2	4	175574868	175576140	gene
ENSG00000249162	ADAM20P3	4	187746094	187748199	gene
ENSG00000139985	ADAM21	14	70417107	70460427	gene
ENSG00000235812	ADAM21P1	14	70245491	70247801	gene
ENSG00000008277	ADAM22	7	87934143	88202889	gene
ENSG00000114948	ADAM23	2	206443532	206621127	gene
ENSG00000214607	ADAM24P	8	17469518	17471618	gene
ENSG00000042980	ADAM28	8	24294069	24359014	gene
ENSG00000168594	ADAM29	4	174829668	174978180	gene
ENSG00000134249	ADAM30	1	119893533	119896515	gene
ENSG00000197140	ADAM32	8	39106990	39284917	gene
ENSG00000149451	ADAM33	20	3667965	3682246	gene
ENSG00000197475	ADAM3A	8	39451045	39522852	gene
ENSG00000260089	ADAM3B	16	49517762	49518601	gene
ENSG00000196115	ADAM5	8	39314591	39417378	gene
ENSG00000271968	ADAM6	14	105969729	105972269	gene
ENSG00000069206	ADAM7	8	24440930	24526970	gene
ENSG00000151651	ADAM8	10	133262420	133276868	gene
ENSG00000168615	ADAM9	8	38996754	39105445	gene
ENSG00000134028	ADAMDEC1	8	24384285	24406013	gene
ENSG00000154734	ADAMTS1	21	26835755	26845409	gene
ENSG00000142303	ADAMTS10	19	8580240	8610735	gene
ENSG00000151388	ADAMTS12	5	33523535	33892019	gene
ENSG00000160323	ADAMTS13	9	133414358	133459402	gene
ENSG00000138316	ADAMTS14	10	70672506	70762441	gene
ENSG00000166106	ADAMTS15	11	130448645	130476645	gene
ENSG00000145536	ADAMTS16	5	5140330	5320304	gene
ENSG00000140470	ADAMTS17	15	99971437	100342005	gene
ENSG00000140873	ADAMTS18	16	77247813	77435034	gene
ENSG00000145808	ADAMTS19	5	129460281	129738683	gene
ENSG00000249421	ADAMTS19-AS1	5	129424782	129461076	gene
ENSG00000087116	ADAMTS2	5	179110853	179345461	gene
ENSG00000173157	ADAMTS20	12	43353866	43552203	gene
ENSG00000156140	ADAMTS3	4	72280969	72569221	gene
ENSG00000158859	ADAMTS4	1	161184302	161199054	gene
ENSG00000154736	ADAMTS5	21	26917922	26967088	gene
ENSG00000049192	ADAMTS6	5	65148738	65481920	gene
ENSG00000136378	ADAMTS7	15	78759206	78811464	gene
ENSG00000274376	ADAMTS7P1	15	82298553	82334609	gene
ENSG00000261143	ADAMTS7P3	15	77976042	77993057	gene
ENSG00000218052	ADAMTS7P4	15	85255369	85330334	gene
ENSG00000134917	ADAMTS8	11	130404923	130428609	gene
ENSG00000163638	ADAMTS9	3	64515654	64688000	gene
ENSG00000241158	ADAMTS9-AS1	3	64561322	64592757	gene
ENSG00000241684	ADAMTS9-AS2	3	64684909	65053439	gene
ENSG00000178031	ADAMTSL1	9	17906563	18910950	gene
ENSG00000197859	ADAMTSL2	9	133532164	133575519	gene
ENSG00000156218	ADAMTSL3	15	83654088	84039842	gene
ENSG00000143382	ADAMTSL4	1	150549369	150560937	gene
ENSG00000203804	ADAMTSL4-AS1	1	150560202	150562115	gene
ENSG00000237781	ADAMTSL4-AS2	1	150548562	150557724	gene
ENSG00000185761	ADAMTSL5	19	1505022	1513604	gene
ENSG00000105963	ADAP1	7	897900	955407	gene
ENSG00000184060	ADAP2	17	30906344	30959322	gene
ENSG00000160710	ADAR	1	154581695	154628013	gene
ENSG00000197381	ADARB1	21	45073853	45226560	gene
ENSG00000185736	ADARB2	10	1177313	1737525	gene
ENSG00000205696	ADARB2-AS1	10	1526637	1556984	gene
ENSG00000065457	ADAT1	16	75596868	75623300	gene
ENSG00000189007	ADAT2	6	143422832	143450695	gene
ENSG00000213638	ADAT3	19	1905399	1913447	gene
ENSG00000063761	ADCK1	14	77800109	77935014	gene
ENSG00000133597	ADCK2	7	140672945	140696261	gene
ENSG00000173137	ADCK5	8	144373101	144393242	gene
ENSG00000164742	ADCY1	7	45574140	45723116	gene
ENSG00000143199	ADCY10	1	167809386	167914215	gene
ENSG00000161912	ADCY10P1	6	41101022	41140835	gene
ENSG00000078295	ADCY2	5	7396138	7830081	gene
ENSG00000138031	ADCY3	2	24819169	24920237	gene
ENSG00000129467	ADCY4	14	24318349	24335093	gene
ENSG00000173175	ADCY5	3	123282296	123449090	gene
ENSG00000174233	ADCY6	12	48766194	48789089	gene
ENSG00000257660	ADCY6-DT	12	48789147	48790535	gene
ENSG00000121281	ADCY7	16	50246137	50318135	gene
ENSG00000155897	ADCY8	8	130780301	131040909	gene
ENSG00000162104	ADCY9	16	3953387	4116442	gene
ENSG00000141433	ADCYAP1	18	904871	912172	gene
ENSG00000078549	ADCYAP1R1	7	31052308	31111479	gene
ENSG00000087274	ADD1	4	2843844	2930076	gene
ENSG00000075340	ADD2	2	70607618	70768225	gene
ENSG00000148700	ADD3	10	109996368	110135565	gene
ENSG00000203876	ADD3-AS1	10	109940104	110008381	gene
ENSG00000118492	ADGB	6	146598967	146815462	gene
ENSG00000197177	ADGRA1	10	133087924	133131675	gene
ENSG00000256925	ADGRA1-AS1	10	133083073	133088491	gene
ENSG00000020181	ADGRA2	8	37784191	37844896	gene
ENSG00000152990	ADGRA3	4	22345071	22516066	gene
ENSG00000181790	ADGRB1	8	142449430	142545009	gene
ENSG00000121753	ADGRB2	1	31727117	31764893	gene
ENSG00000135298	ADGRB3	6	68635282	69390571	gene
ENSG00000111452	ADGRD1	12	130953907	131141469	gene
ENSG00000256151	ADGRD1-AS1	12	130990138	130993976	gene
ENSG00000180264	ADGRD2	9	124451425	124478589	gene
ENSG00000174837	ADGRE1	19	6887566	6940459	gene
ENSG00000127507	ADGRE2	19	14732392	14778560	gene
ENSG00000131355	ADGRE3	19	14619117	14690027	gene
ENSG00000268758	ADGRE4P	19	6952500	6997872	gene
ENSG00000123146	ADGRE5	19	14380501	14408725	gene
ENSG00000153292	ADGRF1	6	46997708	47042350	gene
ENSG00000164393	ADGRF2	6	47656436	47697797	gene
